('https-//vk.com', Fraction(27, 5971))
('https-//vk.me', Fraction(133, 4265))
('https-//vk.com/login', Fraction(45155451837, 2964791079250))
('https-//vk.com/blog/vkme', Fraction(7, 12795))
('https-//vk.com/support', Fraction(562487581, 72162776400))
('https-//vk.com/team', Fraction(3, 9383))
('https-//vk.com/faq12155', Fraction(487334, 192116925))
('https-//vk.com/dev', Fraction(7755529, 1857130275))
('https-//vk.com/about', Fraction(10252777, 1857130275))
('https-//vk.com/away.php', Fraction(8221101, 358174700))
('https-//m.vk.com/login', Fraction(67117910663, 4376697620400))
('https-//new.vk.com/dev/ContactUs', Fraction(9, 21325))
('https-//vk.com/terms', Fraction(3234873, 619043425))
('https-//vk.com/blog', Fraction(26132881, 2807862750))
('https-//vk.com/andrewnovoselsky', Fraction(581, 191925))
('https-//vk.com/jobs', Fraction(1903103179, 352854752250))
('https-//vk.com/faq11836', Fraction(316, 831675))
('https-//vk.com/faq11935', Fraction(65942, 27445275))
('https-//vk.com/faq12112', Fraction(329, 831675))
('https-//m.vk.com/authors', Fraction(614018281, 203998617900))
('https-//vk.com/faq12104', Fraction(454, 831675))
('https-//vk.com/faq11933', Fraction(376, 831675))
('https-//vk.com/faq11837', Fraction(4916, 9148425))
('https-//vk.com/faq11835', Fraction(316, 831675))
('https-//vk.com/dev/help', Fraction(2599, 3049475))
('https-//vk.com/faq11866', Fraction(316, 831675))
('https-//vk.com/faq12135', Fraction(407, 831675))
('https-//vk.com/faq11937', Fraction(114, 277225))
('https-//vk.com/faq12106', Fraction(78812, 27445275))
('https-//vk.com/faq12103', Fraction(394, 831675))
('https-//m.vk.com/superapp', Fraction(4085987, 1004919300))
('https-//vk.com/faq18594', Fraction(394, 831675))
('https-//vk.com/services', Fraction(41259853, 19093466700))
('https-//vk.com/faq12057', Fraction(4916, 9148425))
('https-//vk.com/faq12129', Fraction(407, 831675))
('https-//vk.com/faq12107', Fraction(114, 277225))
('https-//m.vk.com/vkclips', Fraction(7694201, 4940853225))
('https-//vk.com/faq12058', Fraction(65942, 27445275))
('https-//vk.com/albums-22822305', Fraction(1871, 5582885))
('https-//vk.com/videos-22822305', Fraction(22399, 69387285))
('https-//m.vk.com/blog/2020', Fraction(468151, 502459650))
('https-//vk.com/photo-22822305_457320270', Fraction(4733, 4567815))
